id	category	name
uuid:d99da1cd-5f2f-541f-93e6-7bea747df1cd	biolink:Gene	TTC28
uuid:69281fc0-74dd-50f4-9352-89133a1f78ae	biolink:Gene	ARHGAP26
uuid:00a5c96a-1d89-5d10-8564-679441f761f9	biolink:Gene	SLC26A3
uuid:0d45411a-ad59-52fb-b330-79f5ffd91a15	biolink:Gene	ESYT2
uuid:4ec8df38-8d87-5de4-a839-c0344190f936	biolink:Gene	LIMCH1
uuid:81011c18-c8be-57eb-a9a7-afd3877955a5	biolink:Gene	BBS9
uuid:9cd802a2-7eac-5a79-830c-c57b9d943cd0	biolink:Gene	RPGR
uuid:8381e679-4480-5d4e-9d43-19a16cfd6c09	biolink:Gene	SYNE2
uuid:fe50b535-9d7d-5c12-9d15-e8fb3226acb6	biolink:Gene	CGNL1
uuid:34567f95-a8c2-5157-b110-e00dba371520	biolink:Gene	TSHZ2
uuid:db216347-752e-57bc-9879-81893ab5f6bb	biolink:Gene	MRTFB
uuid:cad67160-c288-589b-aec4-be5740351598	biolink:Gene	HTR2C
uuid:8acd735c-8a51-5e2a-98c0-d3951f03c391	biolink:Gene	CFAP46
uuid:67e9aabc-ade5-5147-8842-45e9ad0bffed	biolink:Gene	KAZN
uuid:be14b4de-25dd-57cb-8dbb-8542a7b9fa27	biolink:Gene	GRM8
uuid:dcece35c-1489-5626-b6fc-d0bd58ce6b4d	biolink:Gene	NWD1
uuid:92314dbc-d95c-5885-9a22-f2745b4a1cc1	biolink:Gene	DPP6
